source_id,title_ar,source_type,role,evidence_strength,verification_status,limitations
SRC-QF-01,"إطار جودة الهدف (15 بعدًا)",user_provided_secondary_synthesis,primary_criteria_source,secondary_synthesis,verified_as_secondary_synthesis,"البيانات الأولية الدقيقة تحتاج تحققًا من المصدر الأولي."
SRC-CF-01,"إطار مكونات الخطة (سلسلة التقييم إلى الهدف)",user_provided_secondary_synthesis,plan_component_chain,secondary_synthesis,verified_as_secondary_synthesis,"لا يشمل معمارية الخدمات والتنفيذ."
SRC-VQ-01,"نموذج الصلاحية والجودة متعدد المحاور",user_provided_secondary_synthesis,quality_axes_source,secondary_synthesis,verified_as_secondary_synthesis,"يمنع الدرجة الكلية الواحدة."
SRC-AP-01,"إطار المراحل والمآلات U/A/C/P",user_provided_secondary_synthesis,age_phase_reference,secondary_synthesis,verified_as_secondary_synthesis,"العمر لا يولّد هدفًا."
SRC-HLP-03,"High Leverage Practice 3 (Collaborate with families)",external_practice_reference,governance_input,needs_verification,needs_verification,"البيانات الأولية للمصدر لم تُتحقق منها بعد."
SRC-HLP-04,"High Leverage Practice 4 (Use assessments to develop learner profiles)",external_practice_reference,governance_input,needs_verification,needs_verification,"يستخدم كإطار حوكمة داخلي فقط."
SRC-HLP-05,"High Leverage Practice 5 (Interpret and communicate assessment information)",external_practice_reference,governance_input,needs_verification,needs_verification,"البيانات الأولية للمصدر تحتاج تحققًا."
SRC-HLP-06,"High Leverage Practice 6 (Use student assessment data)",external_practice_reference,governance_input,needs_verification,needs_verification,"البيانات الأولية للمصدر تحتاج تحققًا."
SRC-HLP-11,"High Leverage Practice 11 (Identify and prioritize long/short-term goals)",external_practice_reference,governance_input,needs_verification,needs_verification,"البيانات الأولية للمصدر تحتاج تحققًا."
SRC-HLP-12,"High Leverage Practice 12 (Systematically design instruction)",external_practice_reference,governance_input,needs_verification,needs_verification,"البيانات الأولية للمصدر تحتاج تحققًا."
SRC-HLP-13,"High Leverage Practice 13 (Adapt curriculum materials/tasks)",external_practice_reference,governance_input,needs_verification,needs_verification,"البيانات الأولية للمصدر تحتاج تحققًا."
SRC-HLP-15,"High Leverage Practice 15 (Provide scaffolded supports)",external_practice_reference,governance_input,needs_verification,needs_verification,"البيانات الأولية للمصدر تحتاج تحققًا."
SRC-INT-01,"سياسة قابلية المراجعة الداخلية",internal_governance_rule,gatekeeping,internal,internal,"تعتمد على قرار المشرف."
SRC-INT-02,"سياسة سلامة الهوية عبر المستندات",internal_governance_rule,integrity,internal,internal,"مطابقة نصية لا بيومترية."
SRC-INT-03,"سياسة إدراج صوت الأسرة والمتعلم",internal_governance_rule,voice,internal,internal,"لا تفرض ثقلًا نسبيًا آليًا."
SRC-INT-04,"سياسة المواءمة العمرية والمآلات (اشتقاق من إطار المراحل)",internal_governance_rule,age_alignment,internal,internal,"العمر لا يولّد هدفًا."
SRC-INT-05,"سياسة حوكمة اقتراحات AI (Provenance)",internal_governance_rule,ai_governance,internal,internal,"كل اقتراح يتطلب مصدرًا داخل الحالة."
SRC-REG-XX,"مرجع ولاية تنظيمي (مشروط — غير مفعّل)",regulatory_reference,conditional,not_activated,not_activated,"يُفعّل فقط عند تهيئة سياسة ولاية محددة."
SRC-GORI-01,"إطار R-GORI للتدرج والعلاقات بين الأهداف (Goal Relationships & Progression)",user_provided_secondary_synthesis,goal_relationship_reference,secondary_synthesis,verified_as_secondary_synthesis,"يشرح ترابط الأهداف (builds_on, prepares_for, generalizes_to) دون فرض تسلسل خطي."
SRC-STOB-01,"معيار الاستقرار الزمني لعتبات الإتقان (Stability-Over-Sessions)",user_provided_secondary_synthesis,mastery_threshold_reference,secondary_synthesis,verified_as_secondary_synthesis,"يوثق شرط تكرار الإتقان عبر جلسات/سياقات دون تحديد عدد بعينه."
