criterion_id,domain_id,criterion_name_ar,review_level,criterion_type,required_inputs,activation_rule,not_reviewable_rule,not_applicable_rule,review_question,evidence_expected,comparison_objects,status_options,default_severity_if_failed,human_confirmation,source_ids,source_strength,report_message_template,recommendation_template,limitations
C001,D0,"توفر نموذج الخطة",أساسي,gatekeeper,"plan","plan!=null","plan=null","","هل نموذج الخطة متاح وكامل الحقول الأساسية؟","ملف الخطة","حقول الخطة الدنيا","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-INT-01,internal,"نموذج الخطة غير متاح؛ الحالة غير قابلة للمراجعة.","ارفع نموذج الخطة قبل بدء المراجعة.","قابلية قراءة الملف تُفحص بشريًا."
C002,D0,"توفر العمر/المرحلة",أساسي,gatekeeper,"age","age!=null","age=null","","هل العمر أو المرحلة محددة؟","حقل العمر/المرحلة","سلم المراحل","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-INT-01,internal,"العمر/المرحلة غير محددة؛ لا يمكن تفعيل معايير المواءمة العمرية.","حدد العمر أو المرحلة قبل المتابعة.","لا يستخدم العمر لتوليد هدف."
C003,D0,"تطابق هوية المتعلم عبر المستندات",تحسين جودة,integrity,"plan,assessment","assessment!=null","plan=null","assessment=null","هل جميع المستندات المرفوعة تخص المتعلم نفسه؟","الاسم/المعرف عبر المستندات","حقول الهوية","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-INT-02,internal,"اختلاف هوية بين المستندات المرفوعة.","تحقق من مطابقة اسم/معرف المتعلم قبل المتابعة.","المطابقة نصية لا بيومترية."
C004,D0,"سلامة نطاق المراجعة",أساسي,gatekeeper,"plan","plan!=null","plan=null","","هل نطاق الحالة محدد (خطة واحدة، فترة واحدة)؟","تعريف الحالة","سياسة نطاق الحالة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-01,internal,"نطاق الحالة غير محدد.","حدد الفترة الزمنية والخطة موضوع المراجعة.","لا يشمل حالات متعددة."
C010,D1,"تحديد السلوك المستهدف",أساسي,structural,"plan","goal_text!=null","goal_text=null","","هل السلوك المستهدف محدد بفعل قابل للملاحظة؟","نص الهدف","قائمة أفعال ملاحظة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"الهدف لا يحدد سلوكًا قابلًا للملاحظة.","أعد صياغة الهدف بفعل قابل للملاحظة والقياس.","التقييم بشري بمساعدة AI."
C011,D1,"تحديد الشروط",أساسي,structural,"plan","goal_text!=null","goal_text=null","","هل شروط الأداء محددة (المكان/المادة/الدعم)؟","نص الهدف","نموذج ABCD","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"شروط أداء الهدف غير محددة.","حدد الشروط: أين، بأي مادة، بأي دعم.",""
C012,D1,"تحديد معيار الإتقان",أساسي,structural,"plan","goal_text!=null","goal_text=null","","هل معيار الإتقان مذكور كميًا؟","نص الهدف","معايير SMART","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"معيار الإتقان غير محدد كميًا.","أضف نسبة/عدد/تكرار محدد للإتقان.",""
C013,D1,"تحديد الأفق الزمني",أساسي,structural,"plan","goal_text!=null","goal_text=null","","هل الزمن المستهدف مذكور؟","نص الهدف","نافذة الخطة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"الأفق الزمني للهدف غير محدد.","حدد تاريخ الإنجاز المتوقع.",""
C014,D1,"تحديد أداة/طريقة القياس",أساسي,structural,"plan","goal_text!=null","goal_text=null","","هل أداة/طريقة القياس مذكورة؟","نص الهدف/مواصفة القياس","قائمة أدوات القياس","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"أداة قياس الهدف غير محددة.","حدد أداة القياس (ملاحظة منظمة/سجل تكرار/عينة عمل...).",""
C015,D1,"تحديد الملاحظ/المسؤول",تحسين جودة,structural,"plan","goal_text!=null","goal_text=null","","هل الملاحظ/المسؤول عن القياس محدد؟","نص الهدف","أدوار الفريق","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",منخفض,إلزامي,SRC-QF-01,secondary_synthesis,"المسؤول عن قياس الهدف غير محدد.","أضف مسؤولًا محددًا للقياس.",""
